Date,resting_hr,hrv_ms,day_strain,sleep_efficiency_pct,asleep_min,sleep_debt_min,DateTS,resting_hr_mean,resting_hr_std,resting_hr_z,day_strain_mean,day_strain_std,day_strain_z,sleep_debt_min_mean,sleep_debt_min_std,sleep_debt_min_z,hrv_ms_mean,hrv_ms_std,hrv_ms_z,sleep_efficiency_pct_mean,sleep_efficiency_pct_std,sleep_efficiency_pct_z,asleep_min_mean,asleep_min_std,asleep_min_z,resting_hr_anomaly,day_strain_anomaly,sleep_debt_min_anomaly,hrv_ms_anomaly,sleep_efficiency_pct_anomaly,asleep_min_anomaly,any_anomaly
2024-03-01,,,5.4,,,,2024-03-01,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
2024-03-02,55.0,113.0,15.3,88.0,382.0,0.0,2024-03-02,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
2024-03-03,64.0,63.0,9.9,87.0,367.0,61.0,2024-03-03,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
2024-03-04,55.0,100.0,17.3,93.0,372.0,98.0,2024-03-04,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
2024-03-05,55.0,94.0,13.4,90.0,397.0,101.0,2024-03-05,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
2024-03-06,54.0,110.0,14.1,92.0,413.0,110.0,2024-03-06,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
2024-03-07,66.0,59.0,9.4,88.0,56.0,127.0,2024-03-07,,,,12.114285714285714,4.082249613235563,-0.6648994969551579,,,,,,,,,,,,,False,False,False,False,False,False,False
2024-03-07,66.0,59.0,9.4,92.0,331.0,121.0,2024-03-07,59.285714285714285,5.707138387268049,1.176471509656134,11.775,3.899358921669048,-0.6090744780640571,88.28571428571429,44.41364011845267,0.7365819515589267,85.42857142857143,24.323220338167552,-1.0865572511013355,90.0,2.3804761428476175,0.8401680504168055,331.14285714285717,124.01804784174031,-0.0011519060761177881,False,False,False,False,False,False,False
2024-03-08,55.0,116.0,13.3,91.0,394.0,127.0,2024-03-08,58.75,5.496752287877425,-0.6822210286372693,11.944444444444445,3.6827676790394714,0.3680806593559299,93.125,43.33733955839929,0.781658503848666,89.25,24.978562237017794,1.0709183237278952,90.125,2.2320714274285356,0.39201254460214396,339.0,116.9493174718983,0.4702891918391565,False,False,False,False,False,False,False
2024-03-09,58.0,82.0,7.7,93.0,312.0,98.0,2024-03-09,58.666666666666664,5.1478150704934995,-0.1295047816476348,11.52,3.7225439330293115,-1.0261799642190872,93.66666666666667,40.57092555020159,0.10680883599688537,88.44444444444444,23.489950569930492,-0.2743489998099009,90.44444444444444,2.2973414586817045,1.1123969168353516,336.0,109.76565947508355,-0.21864761816010336,False,False,False,False,False,False,False
2024-03-10,58.0,99.0,7.5,92.0,465.0,127.0,2024-03-10,58.6,4.857983120596447,-0.12350804543889303,11.154545454545454,3.733728334082071,-0.9787925439529644,97.0,39.676469376977366,0.7561156642986933,89.5,22.396676340723218,0.4241700802152697,90.6,2.2211108331943588,0.6303152364470497,348.9,111.2379331782903,1.0437087123321223,False,False,False,False,False,False,False
2024-03-11,58.0,86.0,12.0,100.0,66.0,106.0,2024-03-11,58.54545454545455,4.6122366887148445,-0.11826247919781681,11.225,3.5683265749444164,0.21718864115235095,97.81818181818181,37.73809264342379,0.21680529164856835,89.18181818181819,21.273543107898984,-0.14956691349814505,91.45454545454545,3.5316748537665927,2.4196606140966432,323.1818181818182,135.69142801357657,-1.8953431469236652,False,False,False,False,False,False,False
