date,resting_hr,hrv_ms,day_strain,sleep_efficiency_pct,asleep_min,sleep_debt_min,resting_hr_ma7,elevated_hr,low_hrv,high_strain_flag,poor_sleep,short_sleep,sleep_debt_flag,any_anomaly
2024-03-01,,,5.4,,,,,False,False,False,False,False,False,False
2024-03-02,55.0,113.0,15.3,88.0,382.0,0.0,55.0,False,False,True,False,False,False,True
2024-03-03,64.0,63.0,9.9,87.0,367.0,61.0,59.5,False,False,False,False,False,True,True
2024-03-04,55.0,100.0,17.3,93.0,372.0,98.0,58.0,False,False,True,False,False,True,True
2024-03-05,55.0,94.0,13.4,90.0,397.0,101.0,57.25,False,False,False,False,False,True,True
2024-03-06,54.0,110.0,14.1,92.0,413.0,110.0,56.6,False,False,True,False,False,True,True
2024-03-07,66.0,59.0,9.4,92.0,331.0,121.0,58.166666666666664,False,False,False,False,True,True,True
2024-03-07,66.0,59.0,9.4,88.0,56.0,127.0,59.285714285714285,False,False,False,False,True,True,True
2024-03-08,55.0,116.0,13.3,91.0,394.0,127.0,59.285714285714285,False,False,False,False,False,True,True
2024-03-09,58.0,82.0,7.7,93.0,312.0,98.0,58.42857142857143,False,False,False,False,True,True,True
2024-03-10,58.0,99.0,7.5,92.0,465.0,127.0,58.857142857142854,False,False,False,False,False,True,True
2024-03-11,58.0,86.0,12.0,100.0,66.0,106.0,59.285714285714285,False,False,False,False,True,True,True
2024-03-11,58.0,86.0,12.0,91.0,345.0,86.0,59.857142857142854,False,False,False,False,True,True,True
2024-03-12,57.0,105.0,10.0,90.0,389.0,106.0,58.57142857142857,False,False,False,False,False,True,True
2024-03-13,54.0,100.0,12.1,92.0,380.0,86.0,56.857142857142854,False,False,False,False,False,True,True
2024-03-14,54.0,92.0,8.8,89.0,354.0,117.0,56.714285714285715,False,False,False,False,True,True,True
2024-03-14,54.0,92.0,8.8,92.0,426.0,124.0,56.142857142857146,False,False,False,False,False,True,True
2024-03-14,59.0,75.0,8.5,89.0,354.0,117.0,56.285714285714285,False,False,False,False,True,True,True
2024-03-14,59.0,75.0,8.5,92.0,426.0,124.0,56.42857142857143,False,False,False,False,False,True,True
2024-03-16,62.0,76.0,12.9,90.0,282.0,110.0,57.0,False,False,False,False,True,True,True
2024-03-17,66.0,79.0,7.8,89.0,452.0,127.0,58.285714285714285,False,False,False,False,False,True,True
2024-03-17,66.0,79.0,7.8,93.0,468.0,105.0,60.0,False,False,False,False,False,True,True
2024-03-17,56.0,99.0,7.3,89.0,452.0,127.0,60.285714285714285,False,False,False,False,False,True,True
2024-03-17,56.0,99.0,7.3,93.0,468.0,105.0,60.57142857142857,False,False,False,False,False,True,True
2024-03-18,55.0,87.0,7.2,89.0,390.0,70.0,60.0,False,False,False,False,False,True,True
2024-03-20,56.0,84.0,5.6,94.0,407.0,96.0,59.57142857142857,False,False,False,False,False,True,True
2024-03-21,53.0,103.0,12.8,94.0,348.0,102.0,58.285714285714285,False,False,False,False,True,True,True
2024-03-22,65.0,64.0,9.9,94.0,195.0,111.0,58.142857142857146,False,False,False,False,True,True,True
2024-03-23,52.0,90.0,15.1,89.0,336.0,127.0,56.142857142857146,False,False,True,False,True,True,True
2024-03-24,79.0,40.0,11.4,78.0,401.0,127.0,59.42857142857143,False,False,False,True,False,True,True
2024-03-25,57.0,112.0,7.1,94.0,401.0,127.0,59.57142857142857,False,False,False,False,False,True,True
2024-03-25,57.0,112.0,7.1,96.0,269.0,127.0,59.857142857142854,False,False,False,False,True,True,True
2024-03-25,53.0,100.0,5.8,94.0,401.0,127.0,59.42857142857143,False,False,False,False,False,True,True
2024-03-25,53.0,100.0,5.8,96.0,269.0,127.0,59.42857142857143,False,False,False,False,True,True,True
2024-03-27,51.0,102.0,9.0,92.0,459.0,127.0,57.42857142857143,False,False,False,False,False,True,True
2024-03-27,51.0,102.0,9.0,97.0,85.0,127.0,57.285714285714285,False,False,False,False,True,True,True
2024-03-27,51.0,102.0,9.0,92.0,303.0,126.0,53.285714285714285,False,False,False,False,True,True,True
2024-03-27,53.0,118.0,6.1,92.0,459.0,127.0,52.714285714285715,False,False,False,False,False,True,True
2024-03-27,53.0,118.0,6.1,97.0,85.0,127.0,52.142857142857146,False,False,False,False,True,True,True
2024-03-27,53.0,118.0,6.1,92.0,303.0,126.0,52.142857142857146,False,False,False,False,True,True,True
2024-03-29,55.0,92.0,16.2,91.0,436.0,33.0,52.42857142857143,False,False,True,False,False,False,True
2024-03-30,56.0,95.0,11.8,92.0,387.0,44.0,53.142857142857146,False,False,False,False,False,False,False
2024-03-31,60.0,62.0,18.3,90.0,330.0,107.0,54.42857142857143,False,False,True,False,True,True,True
2024-04-01,80.0,32.0,13.1,78.0,415.0,127.0,58.57142857142857,False,True,False,True,False,True,True
2024-04-01,80.0,32.0,13.1,91.0,383.0,118.0,62.42857142857143,False,True,False,False,False,True,True
2024-04-01,58.0,81.0,8.8,78.0,415.0,127.0,63.142857142857146,False,False,False,True,False,True,True
2024-04-01,58.0,81.0,8.8,91.0,383.0,118.0,63.857142857142854,False,False,False,False,False,True,True
2024-04-02,51.0,99.0,7.0,93.0,406.0,112.0,63.285714285714285,False,False,False,False,False,True,True
2024-04-04,54.0,102.0,8.6,94.0,363.0,115.0,63.0,False,False,False,False,False,True,True
2024-04-04,54.0,102.0,8.6,90.0,405.0,111.0,62.142857142857146,False,False,False,False,False,True,True
2024-04-04,54.0,96.0,6.2,94.0,363.0,115.0,58.42857142857143,False,False,False,False,False,True,True
2024-04-04,54.0,96.0,6.2,90.0,405.0,111.0,54.714285714285715,False,False,False,False,False,True,True
2024-04-06,58.0,85.0,15.1,91.0,412.0,112.0,54.714285714285715,False,False,True,False,False,True,True
2024-04-07,77.0,50.0,10.9,75.0,452.0,111.0,57.42857142857143,False,False,False,True,False,True,True
2024-04-08,57.0,81.0,7.6,89.0,420.0,103.0,58.285714285714285,False,False,False,False,False,True,True
2024-04-09,54.0,97.0,6.6,94.0,460.0,104.0,58.285714285714285,False,False,False,False,False,True,True
2024-04-10,56.0,96.0,6.4,90.0,466.0,73.0,58.57142857142857,False,False,False,False,False,True,True
2024-04-11,54.0,83.0,8.0,88.0,456.0,49.0,58.57142857142857,False,False,False,False,False,False,False
2024-04-12,54.0,86.0,7.7,92.0,447.0,40.0,58.57142857142857,False,False,False,False,False,False,False
2024-04-13,64.0,66.0,13.2,91.0,82.0,99.0,59.42857142857143,False,False,False,False,True,True,True
2024-04-13,64.0,66.0,13.2,85.0,314.0,41.0,57.57142857142857,False,False,False,False,True,False,True
2024-04-14,58.0,80.0,11.6,91.0,447.0,99.0,57.714285714285715,False,False,False,False,False,True,True
2024-04-15,64.0,69.0,11.3,93.0,402.0,96.0,59.142857142857146,False,False,False,False,False,True,True
2024-04-15,64.0,69.0,11.3,90.0,327.0,38.0,60.285714285714285,False,False,False,False,True,False,True
2024-04-15,59.0,91.0,7.0,93.0,402.0,96.0,61.0,False,False,False,False,False,True,True
2024-04-15,59.0,91.0,7.0,90.0,327.0,38.0,61.714285714285715,False,False,False,False,True,False,True
